id,brand_id,brand_name,product_name,categories,discount,discount_rate,list_price,price,rating_average,review_count,sku,short_url,inventory_status,stock_item_qty,stock_item_max_sale_qty
99968881,488103,MRM Manlywear,"Set 2 quần đùi nam, quần Short Gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",Quần thun nam ngắn,144000,36,399000,255000,4.8,574,4423892093285,https://tiki.vn/product-p99968881.html?spid=99968992,available,1000,1000
99958075,488103,MRM Manlywear,"Quần đùi short gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",Quần thun nam ngắn,70000,35,199000,129000,4.7,497,4345512315085,https://tiki.vn/product-p99958075.html?spid=99958305,available,1000,1000
126700166,159835,LADOS,"Quần Jean nam basic cao cấp LADOS - 4035 form slimfit, vải đẹp",Quần jeans nam dài,185000,37,500000,315000,4.6,191,4895726531829,https://tiki.vn/product-p126700166.html?spid=126700186,available,1000,1000
215072155,111461,OEM,"áo khoác bò nam siêu đảng cấp, áo năng động trẻ trung và cá tính, chất vải dày dặn thoáng mát, lên phom cực đẹp - N51",Áo khoác jeans nam,192500,35,550000,357500,4.0,6,4947260121567,https://tiki.vn/product-p215072155.html?spid=215072162,available,1000,1000
172283470,273717,GOKING,"NEVER GIVE UP, mã G112. Áo thun nam nữ in chữ siêu đẹp, form unisex. Áo phông GOKING hàng hiệu, quà tặng cao cấp cho gia đình, cặp đôi, hội nhóm, doanh nghiệp",Áo thun nam ngắn tay không cổ,0,0,99000,99000,4.8,63,6802225842587,https://tiki.vn/product-p172283470.html?spid=205818892,available,1000,1000
67538621,274275,May 10,COmbo 5 quần ĐÙI May 10,Thời Trang,0,0,118000,118000,4.6,4772,1685116844794,https://tiki.vn/product-p67538621.html?spid=67538629,available,1000,1000
172210350,718933,ARADO FASHION,"Hộp 4 quần boxer nam thun lạnh, quần lót nam co dãn 4 chiều- Formen Shop- FMQS017",Quần lót nam,101000,36,280000,179000,4.7,195,7062974494025,https://tiki.vn/product-p172210350.html?spid=172210353,available,1000,1000
16712370,317963,N6,Áo Khoác Kaki Nam Hai Lớp Simple Cao Cấp ShopN6-KK35,Thời Trang,76000,31,245000,169000,3.9,1151,2285868598748,https://tiki.vn/product-p16712370.html?spid=16712385,available,1000,1000
99183754,361817,Tsimple,"Áo Polo Nam cổ bẻ TSIMPLE thun có cổ tay lỡ vải cá sấu cotton phong cách trẻ trung, chuẩn form, nhiều màu",Áo thun nam ngắn tay có cổ,21000,12,170000,149000,4.7,585,9834797782770,https://tiki.vn/product-p99183754.html?spid=99183768,available,1000,1000
56614642,718933,ARADO FASHION,"Combo 5 quần sịp boxer chất cotton mềm mịn, thoải mái, nhiều màu - FORMEN SHOP - FMCB5QS007",Thời Trang,56000,23,245000,189000,4.7,131,4202361302953,https://tiki.vn/product-p56614642.html?spid=56614650,available,1000,1000
17912482,224521,Doka,"Áo khoác nam chống nắng gió thu đông Doka (DBLS102) chất liệu dù giữ ấm cao cấp màu đen , màu xanh đen , màu xanh rêu ",Thời Trang,90000,39,229000,139000,4.5,404,5859724321299,https://tiki.vn/product-p17912482.html?spid=48541088,available,1000,1000
123204494,52304,iBasic,Quần lót nam thun boxer Espresso iBasic PANM103,Quần lót nam,20000,20,99000,79000,4.8,15,9866168389881,https://tiki.vn/product-p123204494.html?spid=123204497,available,1000,1000
205162616,219929,CITYMEN,Hộp 4 Quần lót nam boxer CITYMEN cao cấp lưng Hàn Quốc vải cotton 4 chiều sịp đùi nam - Giao màu ngẫu nhiên,Quần lót nam,89000,42,213000,124000,5.0,31,8688752851300,https://tiki.vn/product-p205162616.html?spid=205162618,available,1000,1000
138752406,111461,OEM,Áo thu đông nam cổ tròn dài tay chất cotton co giãn dáng body thời trang,Root,0,0,70000,70000,3.0,4,9750802794838,https://tiki.vn/product-p138752406.html?spid=196096504,available,1000,1000
248689948,418935,KHATOCO ,Áo sơ mi nam tay dài form suông Khatoco A1MD498T1-CNCR188-2411-D,Áo sơ mi nam tay dài họa tiết,0,0,498000,498000,5.0,1,2480972729795,https://tiki.vn/product-p248689948.html?spid=248689950,available,1000,1000
217176888,111461,OEM,Áo thun tay lỡ form rộng - phông nam nữ oversize - T shirt in tọa độ - 2N Unisex,Root,26000,21,125000,99000,5.0,19,7001187929797,https://tiki.vn/product-p217176888.html?spid=217176895,available,1000,1000
124635780,159835,LADOS,"Áo sơ mi nam trơn tay dài cao cấp Lados - 779 chất kate lụa mềm mát, thấm hút mồ hôi",Áo sơ mi nam tay dài trơn,96000,41,235000,139000,4.6,945,6126520628631,https://tiki.vn/product-p124635780.html?spid=124635796,available,1000,1000
107186342,4469177,Chandi,"Quần Tây Âu Nam Co Giãn Nhẹ Dáng Ôm, Quần Nam Công Sở Lịch Sự Phù Hợp Mọi Hoàn Cảnh Thương Hiệu Chandi Mã NT334",Quần tây nam,0,0,299000,299000,4.3,256,2463262861024,https://tiki.vn/product-p107186342.html?spid=107186344,available,1000,1000
90984718,246545,dokafashion,"Áo Khoác Dù Nam Phối Nón, Dù Thái Nhập Khẩu  ( Tặng 1 áo khoác dù màu ngẫu nhiên ) Dokafashion Siêu Nhẹ Cao Cấp Dành Cho Đi Nắng Đi Mưa EZAK24",Áo khoác gió,130000,38,339000,209000,4.7,9,3850297081678,https://tiki.vn/product-p90984718.html?spid=207999695,available,1000,1000
145680551,219929,CITYMEN,"Hộp 5 Quần Lót Nam lưng Hàn Quốc hiệu CITYMEN vải thun lạnh 4 chiều cao cấp, sịp nam - LMTK-HANAL ( Giao màu ngẫu nhiên )",Quần lót nam,47000,29,163000,116000,4.7,925,7855924381563,https://tiki.vn/product-p145680551.html?spid=145680555,available,1000,1000
110704393,723623,JAMANO,Combo 2 quần đùi nam Cotton mặc nhà thoải mái thoáng mát JAMANO- MÀU NGẪU NHIÊN,Quần thun nam ngắn,41000,29,140000,99000,4.5,251,7723437911225,https://tiki.vn/product-p110704393.html?spid=110704395,available,1000,1000
82819910,718933,ARADO FASHION,"Áo Polo nam cổ bẻ ngắn tay, chất liệu vải cá sấu cotton cao cấp, trẻ trung, năng động – FORMEN SHOP – FMPS150",Áo thun nam ngắn tay có cổ,40000,18,219000,179000,4.8,205,4769927062212,https://tiki.vn/product-p82819910.html?spid=82819932,available,1000,1000
91848059,221573,Amazing,"Quần jogger kaki cao cấp Amazing, lưng thun có dây rút, ống bo, thời trang unisex, màu sắc classic dễ phối đồ, có big size ",Quần jogger nam,110000,32,349000,239000,4.7,134,5232702008229,https://tiki.vn/product-p91848059.html?spid=91848065,available,1000,1000
22610869,224521,Doka,"Combo 3 Áo Thun nam HÀNG HIỆU đa phong cách -  ĐB3QC16 (Chọn Màu)- Vải thun cotton có điểm đặc biệt, thân thiện với làn da, co giãn và khả năng thấm hút tốt",Thời trang nam,111000,37,300000,189000,4.5,216,6119436386498,https://tiki.vn/product-p22610869.html?spid=179968391,available,1000,1000
99325284,361817,Tsimple,"Áo Thể Thao Nam TSIMPLE thun nam tập gym ngắn tay vải thun lạnh thoáng mát, co giãn, chuẩn form nhiều màu",Áo thun nam ngắn tay không cổ,24000,21,113000,89000,4.7,832,5547487254307,https://tiki.vn/product-p99325284.html?spid=99325286,available,1000,1000
20518115,418935,KHATOCO ,Quần Kaki Nam Khatoco Q2M468R1-VNMA012-1811-1 - Xanh Rêu,Root,0,0,468000,468000,4.8,160,7134537433284,https://tiki.vn/product-p20518115.html?spid=20518137,available,1000,1000
